,dimensionname,participantaverage,peeraverage,subordinateaverage,reportingmanageraverage
0,Ability to Execute,5.0,3.875,3.75,4.0
1,Change Orientation,5.0,2.875,3.625,3.25
2,Client & Stakeholders,2.0,3.25,2.375,4.0
3,Coaching & Feedback,3.3333333333333335,3.0,2.0,4.0
4,Emotional Intelligence,4.0,2.875,3.25,5.0
5,Empowering,3.5,2.5,3.375,2.25
6,Energizing,4.666666666666667,4.333333333333334,3.8333333333333335,3.6666666666666665
7,Integrity,4.666666666666667,4.0,4.166666666666666,4.0
8,Network & Alliances,1.0,4.0,2.25,4.0
9,Team Building,3.5,3.0,2.5,1.0
10,Tenacity and Courage,4.666666666666667,4.0,3.6666666666666665,1.6666666666666667
11,Visioning,4.0,4.166666666666667,4.5,1.0
